keyword,feature,base_logloss,drop_logloss,delta_logloss
iceberg,last4_any,0.6423847808874306,0.6404145631659828,-0.0019702177214477867
iceberg,last4_count,0.6423847808874306,0.6466576127401749,0.0042728318527442966
iceberg,weight4,0.6423847808874306,0.6467007367545179,0.004315955867087329
iceberg,last8_any,0.6423847808874306,0.6404145631659828,-0.0019702177214477867
iceberg,last8_count,0.6423847808874306,0.6471072268002188,0.004722445912788253
iceberg,weight8,0.6423847808874306,0.6468479070173978,0.004463126129967243
iceberg,last10_any,0.6423847808874306,0.6404145631659828,-0.0019702177214477867
iceberg,last10_count,0.6423847808874306,0.6471730493646638,0.004788268477233237
iceberg,weight10,0.6423847808874306,0.6468887893481062,0.004504008460675668
iceberg,firstpos,0.6423847808874306,0.6774485061889728,0.035063725301542226
iceberg,density,0.6423847808874306,0.6532174209184274,0.01083264003099682
iceberg,iceberg_trend,0.6423847808874306,0.6484025772424,0.006017796354969462
iceberg,eps_surprise_pct_target,0.6423847808874306,0.6433416536519642,0.0009568727645336006
iceberg,sin_season,0.6423847808874306,0.6465424625245496,0.004157681637119048
iceberg,cos_season,0.6423847808874306,0.6428642146327729,0.000479433745342317
partnership,last4_any,0.6359170658275839,0.6353906793331894,-0.0005263864943945151
partnership,last4_count,0.6359170658275839,0.6364654708537816,0.0005484050261976847
partnership,weight4,0.6359170658275839,0.6364433572161255,0.0005262913885416554
partnership,last8_any,0.6359170658275839,0.6353906793331894,-0.0005263864943945151
partnership,last8_count,0.6359170658275839,0.6373591539141326,0.0014420880865486652
partnership,weight8,0.6359170658275839,0.6368393296079317,0.0009222637803477651
partnership,last10_any,0.6359170658275839,0.6353906793331894,-0.0005263864943945151
partnership,last10_count,0.6359170658275839,0.6375313059320457,0.0016142401044617616
partnership,weight10,0.6359170658275839,0.6369868715444575,0.0010698057168736508
partnership,firstpos,0.6359170658275839,0.661167870164254,0.025250804336670152
partnership,density,0.6359170658275839,0.6442978834617131,0.008380817634129234
partnership,partnership_trend,0.6359170658275839,0.6485975861689854,0.012680520341401547
partnership,eps_surprise_pct_target,0.6359170658275839,0.6343076513992085,-0.0016094144283753664
partnership,sin_season,0.6359170658275839,0.6342167909465423,-0.0017002748810416302
partnership,cos_season,0.6359170658275839,0.634061352423299,-0.00185571340428492
retention,last4_any,0.4710358302851658,0.4710297580263594,-6.072258806444353e-06
retention,last4_count,0.4710358302851658,0.4739048134481091,0.0028689831629432616
retention,weight4,0.4710358302851658,0.47077408683870153,-0.00026174344646429093
retention,last8_any,0.4710358302851658,0.471029758026359,-6.072258806832931e-06
retention,last8_count,0.4710358302851658,0.4743894451007693,0.0033536148156034784
retention,weight8,0.4710358302851658,0.47197585051194907,0.0009400202267832447
retention,last10_any,0.4710358302851658,0.4710297580263593,-6.072258806499864e-06
retention,last10_count,0.4710358302851658,0.4771106024057684,0.0060747721206025895
retention,weight10,0.4710358302851658,0.47365939203023416,0.002623561745068337
retention,firstpos,0.4710358302851658,0.4944958813477831,0.023460051062617282
retention,density,0.4710358302851658,0.47633707124838204,0.005301240963216214
retention,retention_trend,0.4710358302851658,0.47115290956499717,0.0001170792798313447
retention,eps_surprise_pct_target,0.4710358302851658,0.4726137960752283,0.0015779657900624744
retention,sin_season,0.4710358302851658,0.4714712938837575,0.00043546359859170103
retention,cos_season,0.4710358302851658,0.4689557083491216,-0.0020801219360442325
